,ape_id,Clothes,Ears,Hat,Fur,Mouth,Eyes
326,ApeGang #9684,Black Suit,,Rabbit Ears,Cream,,Scar
327,ApeGang #9683,Joker,,,Brown,Beard,Scar
328,ApeGang #9682,Lab Coat,Silver Hoop,Rabbit Ears,Cream,Cigarette,Monocle
329,ApeGang #9681,,,Pirate,Red Devil,,Scar
330,ApeGang #9680,Black Suit,,Stuntman Helmet,Cream,,Squinting
331,ApeGang #9679,,,Yellow NBA Headband,Black,,Devil
332,ApeGang #9678,Purple Hoodie,Bluetooth Earpiece,,Brown,,Robot Glasses
333,ApeGang #9677,Mexican,,Cop,Brown,Corn,Blind
334,ApeGang #9676,Winter Coat,,Bandana,Cream,Grillz,Eye Patch
335,ApeGang #9675,Pirate,,,White,Drool Rainbow,Rainbow Sunglasses
336,ApeGang #9674,Angel Wings,Silver Hoop,Groom,Brown,Smoke Pipe,Monocle
337,ApeGang #9673,Military,,,Brown,Covid Mask,3D Glasses
338,ApeGang #9672,Magician,,Sushi Chef,Cheetah,Smoke Pipe,
339,ApeGang #9671,Orange Striped T-Shirt,,Sombrero,Brown,,
340,ApeGang #9670,,,Hotel Porter,Brown,Cigarette,3D Glasses
341,ApeGang #9669,Groom,,Cop,Brown,,Robot Glasses
342,ApeGang #9668,Banana Shirt,,,Cream,Grillz,Robot
343,ApeGang #9667,Lumberjack,Silver Hoop,Stuntman Helmet,Brown,,
344,ApeGang #9666,Orange Hawaiian Shirt ,,Rabbit Ears,Cheetah,,
345,ApeGang #9665,Orange Hawaiian Shirt ,,,Brown,Flames,Round Glasses
346,ApeGang #9664,Purple Hoodie,Gold Hoop,Yellow NBA Headband,Grey,Nose Ring,Scar
347,ApeGang #9663,Orange Hawaiian Shirt ,,Banana,Cream,Grin Gold,
348,ApeGang #9662,,,Cop,Rainbow,Mustache,Gold Sunglasses
349,ApeGang #9661,Military,Gold Hoop,,Brown,Cigarette,
350,ApeGang #9660,Pirate,Airpods,,Zebra,Drool Rainbow,
351,ApeGang #9659,Lumberjack,,,Black,Beard,Hippie Glasses
352,ApeGang #9658,Mexican,,,Robot,Grin Rainbow,Cyclops
353,ApeGang #9657,Pimp Coat,,,Brown,,Crazy
354,ApeGang #9656,Iron Man,Bluetooth Earpiece,Bandana,White,Grin Gold,Squinting
355,ApeGang #9655,Lab Coat,Gold Hoop,Rabbit Ears,Brown,,
356,ApeGang #9654,,,,Cream,Grin Gold,
357,ApeGang #9653,Grey Striped T-Shirt,Bluetooth Earpiece,Chef's,Zebra,,
358,ApeGang #9652,,,,Cream,Oh,3D Glasses
359,ApeGang #9651,Indian,Silver Hoop,Viking Helmet,Cheetah,Joint,Strabismus
360,ApeGang #9650,Mexican,,,Grey,,Closed
361,ApeGang #9649,,,Headphone,White,Snake,
